"","ExrNTC_S49","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"Silurus",0,0,0,0,0,0,0,0,0,0,0,195,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,175,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sorex",0,0,0,114,0,0,0,0,0,103,106,0,0,191,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0
"Sparus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaeramia",0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphecodes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spisula",0,0,0,0,0,0,0,0,0,113,158,278,0,114,195,0,0,0,0,0,0,101,0,0,121,183,0,216,233,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0
"Squalius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steromphala",0,269,274,677,958,1330,1196,2572,1680,3220,5889,7771,2244,7004,8509,1821,0,494,389,1218,10348,2225,1040,441,5013,5696,886,9991,4939,181,270,1236,2485,1949,2726,3879,2481,1024,1345,1568,5546,32179,16785,1039,0
"Strigamia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Strongylocentrotus",0,0,0,106,0,269,185,178,238,653,3445,1053,189,354,640,1711,0,0,0,288,1749,707,162,150,799,780,0,572,861,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,164
"Suncus",0,0,0,104,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sus",1220,0,143,452,370,921,670,922,866,422,1808,2036,606,518,2667,1081,152,407,614,1019,359,1512,878,0,706,1218,0,624,795,0,0,645,640,650,542,948,885,612,352,956,191,553,1992,1546,527
"Sylvilagus",0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Symphodus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synanthedon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syngnathus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Takifugu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taurulus",0,0,0,109,104,172,183,179,253,393,507,1042,295,420,846,0,0,0,0,241,1030,4421,120,0,436,709,0,592,443,0,0,0,0,0,0,0,0,0,0,226,0,175,0,198,0
"Telmatherina",0,0,0,0,0,0,0,0,0,0,0,120,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Temora",0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tenthredo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thrips",0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thunnus",0,0,0,0,0,0,0,0,0,0,0,114,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Timema",0,0,0,0,0,0,0,0,0,0,0,275,0,159,390,0,0,0,0,0,142,0,0,0,0,160,0,210,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0
"Topomyia",0,0,0,0,0,0,0,0,0,0,0,171,0,100,132,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toxorhynchites",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trachurus",0,0,0,0,0,0,0,0,0,0,0,1030,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichosurus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tridacna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,116,123,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0
"Uranotaenia",0,0,0,0,0,0,0,0,0,110,0,237,0,167,274,0,0,0,0,0,171,0,0,0,0,127,0,126,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vespa",0,0,0,0,0,0,0,0,0,0,0,249,0,144,374,0,0,0,0,0,0,0,0,0,101,169,0,265,361,0,0,0,0,0,0,0,0,0,0,0,0,102,116,0,0
"Vespula",0,0,0,0,0,0,0,0,0,0,0,165,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,168,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xenopus",0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,152,0
"Xestia",0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yponomeuta",0,0,0,0,0,0,0,0,0,0,0,108,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
